Schedule,Block 1 Rotation,Block 1 Site,Block 2 Rotation,Block 2 Site,Block 3 Rotation,Block 3 Site,Block 4 Rotation,Block 4 Site,Block 5 Rotation,Block 5 Site,Block 6 Rotation,Block 6 Site,Block 7 Rotation,Block 7 Site,Block 8 Rotation,Block 8 Site,Block 9 Rotation,Block 9 Site,Max Pairwise Distance (min),Dominant City
182,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,Psychiatry,The Christ Hospital,Family Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Elective,Generic Elective,0.0,Cincinnati
183,Pediatrics,The Christ Hospital,Family Medicine,The Christ Hospital,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Psychiatry,The Christ Hospital,Elective,Generic Elective,0.0,Cincinnati
184,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Family Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,Psychiatry,The Christ Hospital,Elective,Generic Elective,0.0,Cincinnati
185,Elective,Generic Elective,Family Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Psychiatry,The Christ Hospital,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Pediatrics,The Christ Hospital,0.0,Cincinnati
186,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Psychiatry,The Christ Hospital,Family Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Elective,Generic Elective,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,0.0,Cincinnati
187,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Psychiatry,The Christ Hospital,Pediatrics,The Christ Hospital,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Elective,Generic Elective,Family Medicine,The Christ Hospital,0.0,Cincinnati
188,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Psychiatry,The Christ Hospital,Family Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,Elective,Generic Elective,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,0.0,Cincinnati
189,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,Family Medicine,The Christ Hospital,Psychiatry,The Christ Hospital,Elective,Generic Elective,Obstetrics/Gynecology,The Christ Hospital,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,0.0,Cincinnati
190,Obstetrics/Gynecology,The Christ Hospital,Pediatrics,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Family Medicine,The Christ Hospital,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,Psychiatry,The Christ Hospital,Elective,Generic Elective,0.0,Cincinnati
191,Psychiatry,The Christ Hospital,Elective,Generic Elective,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Family Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,0.0,Cincinnati
192,Obstetrics/Gynecology,The Christ Hospital,Pediatrics,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Elective,Generic Elective,Psychiatry,The Christ Hospital,Family Medicine,The Christ Hospital,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,0.0,Cincinnati
193,Elective,Generic Elective,Psychiatry,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Pediatrics,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,Family Medicine,The Christ Hospital,0.0,Cincinnati
194,Psychiatry,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Elective,Generic Elective,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,Family Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,0.0,Cincinnati
195,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,Psychiatry,The Christ Hospital,Elective,Generic Elective,Obstetrics/Gynecology,The Christ Hospital,Family Medicine,The Christ Hospital,0.0,Cincinnati
196,Obstetrics/Gynecology,The Christ Hospital,Pediatrics,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Elective,Generic Elective,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Family Medicine,The Christ Hospital,Psychiatry,The Christ Hospital,0.0,Cincinnati
197,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Elective,Generic Elective,Psychiatry,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Family Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,0.0,Cincinnati
198,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Elective,Generic Elective,Family Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Psychiatry,The Christ Hospital,Pediatrics,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,0.0,Cincinnati
199,Family Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Psychiatry,The Christ Hospital,Pediatrics,The Christ Hospital,Elective,Generic Elective,0.0,Cincinnati
200,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,Family Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,Psychiatry,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Elective,Generic Elective,0.0,Cincinnati
201,Psychiatry,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Family Medicine,The Christ Hospital,Elective,Generic Elective,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,0.0,Cincinnati
202,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Pediatrics,The Christ Hospital,Psychiatry,The Christ Hospital,Family Medicine,The Christ Hospital,Elective,Generic Elective,0.0,Cincinnati
203,Elective,Generic Elective,Family Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Psychiatry,The Christ Hospital,0.0,Cincinnati
204,Family Medicine,The Christ Hospital,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Pediatrics,The Christ Hospital,Psychiatry,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Elective,Generic Elective,0.0,Cincinnati
205,Family Medicine,The Christ Hospital,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Pediatrics,The Christ Hospital,Elective,Generic Elective,Psychiatry,The Christ Hospital,0.0,Cincinnati
206,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,Psychiatry,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Pediatrics,The Christ Hospital,Family Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Elective,Generic Elective,0.0,Cincinnati
